,account_name,compound,date,negative,neutral,positive,text
0,CBSNews,0.4215,Tue Jan 09 00:05:36 +0000 2018,0.0,0.851,0.149,CBSNews
1,CBSNews,0.0,Tue Jan 09 00:02:02 +0000 2018,0.0,1.0,0.0,CBSNews
2,CBSNews,-0.3182,Mon Jan 08 23:55:01 +0000 2018,0.104,0.843,0.052,CBSNews
3,CBSNews,0.0,Mon Jan 08 23:51:00 +0000 2018,0.0,1.0,0.0,CBSNews
4,CBSNews,0.0,Mon Jan 08 23:50:36 +0000 2018,0.0,1.0,0.0,CBSNews
5,CBSNews,0.2732,Mon Jan 08 23:46:47 +0000 2018,0.0,0.9,0.1,CBSNews
6,CBSNews,0.0,Mon Jan 08 23:43:38 +0000 2018,0.0,1.0,0.0,CBSNews
7,CBSNews,0.0,Mon Jan 08 23:40:01 +0000 2018,0.0,1.0,0.0,CBSNews
8,CBSNews,0.0,Mon Jan 08 23:37:37 +0000 2018,0.0,1.0,0.0,CBSNews
9,CBSNews,0.0,Mon Jan 08 23:30:01 +0000 2018,0.104,0.792,0.104,CBSNews
10,CBSNews,0.0,Mon Jan 08 23:10:01 +0000 2018,0.0,1.0,0.0,CBSNews
11,CBSNews,0.2732,Mon Jan 08 22:55:24 +0000 2018,0.0,0.905,0.095,CBSNews
12,CBSNews,-0.296,Mon Jan 08 22:40:51 +0000 2018,0.095,0.905,0.0,CBSNews
13,CBSNews,0.4019,Mon Jan 08 22:25:43 +0000 2018,0.0,0.863,0.137,CBSNews
14,CBSNews,0.1779,Mon Jan 08 22:16:32 +0000 2018,0.096,0.776,0.128,CBSNews
15,CBSNews,-0.2177,Mon Jan 08 22:10:07 +0000 2018,0.16,0.674,0.166,CBSNews
16,CBSNews,-0.2732,Mon Jan 08 22:03:28 +0000 2018,0.128,0.802,0.07,CBSNews
17,CBSNews,0.34,Mon Jan 08 21:47:35 +0000 2018,0.085,0.775,0.14,CBSNews
18,CBSNews,-0.5256,Mon Jan 08 21:27:32 +0000 2018,0.152,0.848,0.0,CBSNews
19,CBSNews,0.0,Mon Jan 08 21:13:31 +0000 2018,0.0,1.0,0.0,CBSNews
20,CBSNews,0.3612,Mon Jan 08 21:06:30 +0000 2018,0.0,0.872,0.128,CBSNews
21,CBSNews,-0.6597,Mon Jan 08 20:45:01 +0000 2018,0.196,0.804,0.0,CBSNews
22,CBSNews,0.0,Mon Jan 08 20:29:55 +0000 2018,0.0,1.0,0.0,CBSNews
23,CBSNews,-0.6597,Mon Jan 08 20:12:42 +0000 2018,0.216,0.784,0.0,CBSNews
24,CBSNews,0.0,Mon Jan 08 20:05:24 +0000 2018,0.0,1.0,0.0,CBSNews
25,CBSNews,0.0,Mon Jan 08 19:50:03 +0000 2018,0.0,1.0,0.0,CBSNews
26,CBSNews,-0.0258,Mon Jan 08 19:35:44 +0000 2018,0.132,0.739,0.128,CBSNews
27,CBSNews,0.0,Mon Jan 08 19:20:33 +0000 2018,0.0,1.0,0.0,CBSNews
28,CBSNews,0.8402,Mon Jan 08 19:05:26 +0000 2018,0.0,0.714,0.286,CBSNews
29,CBSNews,0.0,Mon Jan 08 18:50:01 +0000 2018,0.0,1.0,0.0,CBSNews
30,CBSNews,0.5563,Mon Jan 08 18:30:01 +0000 2018,0.0,0.834,0.166,CBSNews
31,CBSNews,0.0,Mon Jan 08 18:15:01 +0000 2018,0.0,1.0,0.0,CBSNews
32,CBSNews,-0.7269,Mon Jan 08 18:00:02 +0000 2018,0.264,0.736,0.0,CBSNews
33,CBSNews,0.0,Mon Jan 08 17:45:01 +0000 2018,0.0,1.0,0.0,CBSNews
34,CBSNews,-0.5106,Mon Jan 08 17:30:35 +0000 2018,0.212,0.788,0.0,CBSNews
35,CBSNews,0.4939,Mon Jan 08 17:07:41 +0000 2018,0.0,0.849,0.151,CBSNews
36,CBSNews,-0.3182,Mon Jan 08 16:40:35 +0000 2018,0.113,0.887,0.0,CBSNews
37,CBSNews,0.4588,Mon Jan 08 16:20:38 +0000 2018,0.0,0.833,0.167,CBSNews
38,CBSNews,-0.5106,Mon Jan 08 16:00:43 +0000 2018,0.268,0.732,0.0,CBSNews
39,CBSNews,-0.872,Mon Jan 08 16:00:03 +0000 2018,0.524,0.476,0.0,CBSNews
40,CBSNews,0.6369,Mon Jan 08 15:45:01 +0000 2018,0.0,0.811,0.189,CBSNews
41,CBSNews,0.4019,Mon Jan 08 15:31:01 +0000 2018,0.0,0.863,0.137,CBSNews
42,CBSNews,0.3612,Mon Jan 08 15:15:01 +0000 2018,0.096,0.719,0.186,CBSNews
43,CBSNews,0.0,Mon Jan 08 15:11:15 +0000 2018,0.0,1.0,0.0,CBSNews
44,CBSNews,0.0,Mon Jan 08 14:56:34 +0000 2018,0.0,1.0,0.0,CBSNews
45,CBSNews,0.6369,Mon Jan 08 14:52:20 +0000 2018,0.0,0.802,0.198,CBSNews
46,CBSNews,0.0,Mon Jan 08 14:48:30 +0000 2018,0.0,1.0,0.0,CBSNews
47,CBSNews,-0.296,Mon Jan 08 14:45:56 +0000 2018,0.091,0.909,0.0,CBSNews
48,CBSNews,0.296,Mon Jan 08 14:44:01 +0000 2018,0.0,0.909,0.091,CBSNews
49,CBSNews,0.0,Mon Jan 08 14:35:01 +0000 2018,0.0,1.0,0.0,CBSNews
50,CBSNews,0.0,Mon Jan 08 14:20:01 +0000 2018,0.0,1.0,0.0,CBSNews
51,CBSNews,-0.296,Mon Jan 08 14:05:01 +0000 2018,0.091,0.909,0.0,CBSNews
52,CBSNews,-0.0608,Mon Jan 08 13:50:48 +0000 2018,0.085,0.839,0.076,CBSNews
53,CBSNews,0.5423,Mon Jan 08 13:36:47 +0000 2018,0.0,0.791,0.209,CBSNews
54,CBSNews,0.0,Mon Jan 08 13:34:42 +0000 2018,0.0,1.0,0.0,CBSNews
55,CBSNews,0.0,Mon Jan 08 13:21:03 +0000 2018,0.0,1.0,0.0,CBSNews
56,CBSNews,0.128,Mon Jan 08 13:15:35 +0000 2018,0.0,0.889,0.111,CBSNews
57,CBSNews,0.4588,Mon Jan 08 13:15:24 +0000 2018,0.0,0.857,0.143,CBSNews
58,CBSNews,-0.296,Mon Jan 08 13:10:01 +0000 2018,0.099,0.901,0.0,CBSNews
59,CBSNews,0.4215,Mon Jan 08 13:09:50 +0000 2018,0.0,0.865,0.135,CBSNews
60,CBSNews,0.4588,Mon Jan 08 13:05:44 +0000 2018,0.0,0.857,0.143,CBSNews
61,CBSNews,0.0,Mon Jan 08 12:53:39 +0000 2018,0.0,1.0,0.0,CBSNews
62,CBSNews,-0.34,Mon Jan 08 12:51:01 +0000 2018,0.103,0.897,0.0,CBSNews
63,CBSNews,0.128,Mon Jan 08 12:46:09 +0000 2018,0.092,0.795,0.113,CBSNews
64,CBSNews,-0.34,Mon Jan 08 12:41:36 +0000 2018,0.103,0.897,0.0,CBSNews
65,CBSNews,0.0,Mon Jan 08 12:37:05 +0000 2018,0.0,1.0,0.0,CBSNews
66,CBSNews,0.0,Mon Jan 08 12:36:18 +0000 2018,0.0,1.0,0.0,CBSNews
67,CBSNews,-0.3943,Mon Jan 08 12:35:06 +0000 2018,0.169,0.831,0.0,CBSNews
68,CBSNews,-0.34,Mon Jan 08 12:33:31 +0000 2018,0.138,0.862,0.0,CBSNews
69,CBSNews,0.0,Mon Jan 08 12:21:45 +0000 2018,0.0,1.0,0.0,CBSNews
70,CBSNews,0.0,Mon Jan 08 12:21:38 +0000 2018,0.0,1.0,0.0,CBSNews
71,CBSNews,-0.2263,Mon Jan 08 12:21:01 +0000 2018,0.101,0.899,0.0,CBSNews
72,CBSNews,0.0,Mon Jan 08 12:17:59 +0000 2018,0.0,1.0,0.0,CBSNews
73,CBSNews,0.0,Mon Jan 08 12:14:48 +0000 2018,0.0,1.0,0.0,CBSNews
74,CBSNews,-0.5719,Mon Jan 08 12:12:41 +0000 2018,0.179,0.821,0.0,CBSNews
